state_abbr,fiscal_year,total_millions,type
AL,2023,1871,actual
AL,2024,2153,actual
AL,2025,2218,estimated
AK,2023,1925,actual
AK,2024,2154,actual
AK,2025,2165,estimated
AZ,2023,4756,actual
AZ,2024,6181,actual
AZ,2025,5484,estimated
AR,2023,2233,actual
AR,2024,2181,actual
AR,2025,2304,estimated
CA,2023,20204,actual
CA,2024,26154,actual
CA,2025,32982,estimated
CO,2023,1791,actual
CO,2024,1798,actual
CO,2025,2065,estimated
CT,2023,4175,actual
CT,2024,4937,actual
CT,2025,5492,estimated
DE,2023,1131,actual
DE,2024,1180,actual
DE,2025,1257,estimated
FL,2023,12296,actual
FL,2024,20013,actual
FL,2025,15530,estimated
GA,2023,5089,actual
GA,2024,5682,actual
GA,2025,5456,estimated
HI,2023,1676,actual
HI,2024,1861,actual
HI,2025,2106,estimated
ID,2023,887,actual
ID,2024,1135,actual
ID,2025,1061,estimated
IL,2023,7683,actual
IL,2024,7549,actual
IL,2025,8396,estimated
IN,2023,3367,actual
IN,2024,3391,actual
IN,2025,1660,estimated
IA,2023,2382,actual
IA,2024,2515,actual
IA,2025,2206,estimated
KS,2023,2856,actual
KS,2024,2340,actual
KS,2025,1990,estimated
KY,2023,3145,actual
KY,2024,3180,actual
KY,2025,3151,estimated
LA,2023,1959,actual
LA,2024,2571,actual
LA,2025,2843,estimated
ME,2023,915,actual
ME,2024,1022,actual
ME,2025,1212,estimated
MD,2023,5229,actual
MD,2024,5764,actual
MD,2025,6482,estimated
MA,2023,5470,actual
MA,2024,5927,actual
MA,2025,6073,estimated
MI,2023,8155,actual
MI,2024,8145,actual
MI,2025,6714,estimated
MN,2023,5086,actual
MN,2024,5427,actual
MN,2025,8548,estimated
MS,2023,1522,actual
MS,2024,1671,actual
MS,2025,2426,estimated
MO,2023,2796,actual
MO,2024,3257,actual
MO,2025,3623,estimated
MT,2023,1134,actual
MT,2024,1207,actual
MT,2025,1256,estimated
NE,2023,1066,actual
NE,2024,1283,actual
NE,2025,1343,estimated
NV,2023,1048,actual
NV,2024,1421,actual
NV,2025,1119,estimated
NH,2023,785,actual
NH,2024,763,actual
NH,2025,750,estimated
NJ,2023,7291,actual
NJ,2024,7653,actual
NJ,2025,8360,estimated
NM,2023,1294,actual
NM,2024,2487,actual
NM,2025,2132,estimated
NY,2023,12032,actual
NY,2024,11969,actual
NY,2025,13033,estimated
NC,2023,7556,actual
NC,2024,7680,actual
NC,2025,8197,estimated
ND,2023,872,actual
ND,2024,1001,actual
ND,2025,935,estimated
OH,2023,3572,actual
OH,2024,5036,actual
OH,2025,5190,estimated
OK,2023,1686,actual
OK,2024,2107,actual
OK,2025,2855,estimated
OR,2023,2466,actual
OR,2024,2599,actual
OR,2025,3228,estimated
PA,2023,10005,actual
PA,2024,10954,actual
PA,2025,11639,estimated
RI,2023,765,actual
RI,2024,777,actual
RI,2025,1081,estimated
SC,2023,2875,actual
SC,2024,3072,actual
SC,2025,3643,estimated
SD,2023,920,actual
SD,2024,1052,actual
SD,2025,1150,estimated
TN,2023,2636,actual
TN,2024,2887,actual
TN,2025,2860,estimated
TX,2023,14932,actual
TX,2024,19471,actual
TX,2025,22765,estimated
UT,2023,2799,actual
UT,2024,2626,actual
UT,2025,3643,estimated
VT,2023,741,actual
VT,2024,813,actual
VT,2025,783,estimated
VA,2023,9248,actual
VA,2024,9700,actual
VA,2025,10875,estimated
WA,2023,3784,actual
WA,2024,4663,actual
WA,2025,4854,estimated
WV,2023,1790,actual
WV,2024,1911,actual
WV,2025,2306,estimated
WI,2023,3762,actual
WI,2024,3875,actual
WI,2025,4241,estimated
WY,2023,152,actual
WY,2024,188,actual
WY,2025,188,estimated
