state_abbr,name,title,agency
AL,John Cooper,Director,Alabama Department of Transportation
AK,Ryan Anderson,Commissioner,Alaska Department of Transportation and Public Facilities
AZ,Jennifer Toth,Director,Arizona Department of Transportation
AR,Jared Wiley,Director,Arkansas Department of Transportation
CA,Dina El-Tawansy,Director,California Department of Transportation (Caltrans)
CO,Shoshana Lew,Executive Director,Colorado Department of Transportation
CT,Garrett Eucalitto,Commissioner,Connecticut Department of Transportation
DE,Shante Hastings,Secretary,Delaware Department of Transportation
FL,Jared Perdue,Secretary,Florida Department of Transportation
GA,"Russell McMurry, P.E.",Commissioner,Georgia Department of Transportation
HI,Edwin Sniffen,Director,Hawaii Department of Transportation
ID,Scott Stokes,Director,Idaho Transportation Department
IL,Gia Biagi,Secretary,Illinois Department of Transportation
IN,Lyndsay Quist,Commissioner,Indiana Department of Transportation
IA,Scott Marler,Director,Iowa Department of Transportation
KS,Calvin Reed,Secretary,Kansas Department of Transportation
KY,Rebecca Goodman,Secretary,Kentucky Transportation Cabinet
LA,Glenn Ledet,Secretary,Louisiana Department of Transportation and Development
ME,Dale Doughty,Commissioner,Maine Department of Transportation
MD,Kathryn Thomson,Acting Secretary,Maryland Department of Transportation
MA,Phillip Eng,Secretary & CEO,Massachusetts Department of Transportation
MI,Bradley Wieferich,Director,Michigan Department of Transportation
MN,Nancy Daubenberger,Commissioner,Minnesota Department of Transportation
MS,Brad White,Executive Director,Mississippi Department of Transportation
MO,Ed Hassinger,Director,Missouri Department of Transportation
MT,Christopher Dorrington,Director,Montana Department of Transportation
NE,Vicki Kramer,Director,Nebraska Department of Transportation
NV,Tracy Larkin Thomason,Director,Nevada Department of Transportation
NH,David Rodrigue,Acting Commissioner,New Hampshire Department of Transportation
NJ,Priya Jain,Acting Commissioner,New Jersey Department of Transportation
NM,David Quintana,Cabinet Secretary,New Mexico Department of Transportation
NY,Marie Therese Dominguez,Commissioner,New York State Department of Transportation
NC,Daniel Johnson,Secretary,North Carolina Department of Transportation
ND,Ronald Henke,Director,North Dakota Department of Transportation
OH,Pamela Vest-Boratyn,Director,Ohio Department of Transportation
OK,Tim Gatz,Executive Director,Oklahoma Department of Transportation
OR,Lisa Sumption,Director,Oregon Department of Transportation
PA,Michael Carroll,Secretary,Pennsylvania Department of Transportation
RI,Robert Rocchio,Director,Rhode Island Department of Transportation
SC,Justin Powell,Secretary,South Carolina Department of Transportation
SD,Joel Jundt,Secretary,South Dakota Department of Transportation
TN,Will Reid,Commissioner,Tennessee Department of Transportation
TX,"Marc Williams, P.E.",Executive Director,Texas Department of Transportation
UT,"Carlos Braceras, P.E.",Executive Director,Utah Department of Transportation
VT,Joe Flynn,Secretary,Vermont Agency of Transportation
VA,Nick Donohue,Commissioner,Virginia Department of Transportation
WA,Julie Meredith,Secretary,Washington State Department of Transportation
WV,Stephen Rumbaugh,Secretary,West Virginia Department of Transportation
WI,Kristina Boardman,Secretary,Wisconsin Department of Transportation
WY,Darin Westby,Director,Wyoming Department of Transportation
