state_abbr,fiscal_year,motor_fuel_taxes,license_registration,vehicle_sales_use,tolls,other,total
AL,2025,651,117,0,0,1252,2020
AK,2025,,,,,,
AZ,2025,822,917,0,0,95,1834
AR,2025,343,547,0,0,104,994
CA,2025,10622,8242,0,0,1315,20179
CO,2025,644,244,0,0,402,1290
CT,2025,514,275,879,0,518,2185
DE,2025,135,268,0,182,24,609
FL,2025,3153,1556,0,1508,6933,13150
GA,2025,2163,0,0,0,281,2444
HI,2025,78,49,278,0,2086,2491
ID,2025,389,284,0,0,0,673
IL,2025,2880,1599,0,0,3682,8162
IN,2025,1506,209,0,0,56,1771
IA,2025,668,778,482,0,94,2022
KS,2025,460,230,758,0,689,2137
KY,2025,863,148,719,0,134,1864
LA,2025,592,61,211,0,46,910
ME,2025,221,109,116,0,83,529
MD,2025,1364,522,1083,0,3228,6197
MA,2025,706,673,792,0,339,2510
MI,2025,1584,1532,124,28,1010,4278
MN,2025,689,2,223,0,2006,2920
MS,2025,,,,,,
MO,2025,784,340,467,0,0,1591
MT,2025,273,0,0,0,126,399
NE,2025,264,49,178,0,128,619
NV,2025,372,208,0,0,166,746
NH,2025,127,109,0,0,1,237
NJ,2025,467,0,200,12,1585,2264
NM,2025,247,89,62,0,139,537
NY,2025,487,871,1314,0,3698,6370
NC,2025,2461,1289,1250,0,773,5773
ND,2025,186,100,0,0,23,309
OH,2025,1179,79,0,0,2295,3552
OK,2025,311,3,220,0,264,798
OR,2025,698,527,10,0,657,1891
PA,2025,3584,1305,0,0,100,4989
RI,2025,168,112,170,0,0,450
SC,2025,1038,321,325,0,1521,3205
SD,2025,186,0,173,0,48,407
TN,2025,729,307,29,0,7,1072
TX,2025,2839,1815,2500,63,4425,11642
UT,2025,670,317,0,0,937,1924
VT,2025,71,110,97,0,56,334
VA,2025,1439,444,1391,0,1554,4828
WA,2025,1025,1189,99,204,1337,3854
WV,2025,435,155,305,0,1018,1913
WI,2025,1116,799,0,0,283,2198
WY,2025,,,,,,
