abbr,name,capital,population_millions,agencyName,fiscalYear,totalBudget_millions,budgetSource,budgetUrl,budgetNote,fund_general_fund,fund_federal_funds,fund_other_state_funds,fund_bonds,yoy_fy23_to_fy24,yoy_fy24_to_fy25,pct_state_fy2023,pct_state_fy2024,pct_state_fy2025,exp_construction_capital,exp_maintenance_services,exp_administration_safety,exp_grants_to_local_govts,exp_debt_service_interest,publicRoadMiles,bridges_total,bridges_good,bridges_fair,bridges_poor,num_districts,num_counties,hq_address,hq_city,hq_state,hq_zip,hq_phone,hq_website
AL,Alabama,Montgomery,5.16,Alabama Department of Transportation,2025,2218,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,1324,790,104,15.1,3.0,4.6,5.6,5.1,1303.9,215.9,607.2,0.0,91.0,100223,16205,5993,9669,543,9,67,1409 Coliseum Boulevard,Montgomery,AL,36110,(334) 242-6311,https://www.dot.state.al.us
AK,Alaska,Juneau,0.74,Alaska Department of Transportation and Public Facilities,2025,2165,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),320,1488,357,0,11.9,0.5,12.9,15.0,13.7,1436.1,458.0,213.9,2.8,54.3,17639,1685,768,784,133,4,30,3132 Channel Drive,Juneau,AK,99811,(907) 465-3900,https://dot.alaska.gov
AZ,Arizona,Phoenix,7.58,Arizona Department of Transportation,2025,5484,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,1109,3959,416,30.0,-11.3,4.2,6.4,7.5,2034.8,348.4,920.3,1619.9,560.6,75224,8573,5440,3034,99,8,15,206 South 17th Avenue,Phoenix,AZ,85007,(602) 712-7355,https://azdot.gov
AR,Arkansas,Little Rock,3.09,Arkansas Department of Transportation,2025,2304,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,1093,1211,0,-2.3,5.6,6.7,6.5,7.1,1398.5,344.7,357.3,0.0,203.5,99165,12974,5940,6330,704,10,75,10324 Interstate 30,Little Rock,AR,72209,(501) 569-2000,https://www.ardot.gov
CA,California,Sacramento,39.43,California Department of Transportation (Caltrans),2025,32982,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),3855,6667,22356,104,29.4,26.1,4.9,5.8,6.5,9244.2,4548.4,6091.7,10629.5,2468.2,177334,25848,11798,12523,1527,12,58,1120 N Street,Sacramento,CA,95814,(916) 654-2852,https://dot.ca.gov
CO,Colorado,Denver,5.96,Colorado Department of Transportation,2025,2065,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),1,861,1203,0,0.4,14.8,4.4,4.2,4.5,599.4,176.9,123.6,1067.2,97.9,89784,8965,3197,5336,432,5,64,2829 W. Howard Place,Denver,CO,80204,(303) 757-9011,https://www.codot.gov
CT,Connecticut,Hartford,3.68,Connecticut Department of Transportation,2025,5492,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),0,1390,2874,1228,18.3,11.2,9.8,11.5,12.1,2635.7,663.2,259.2,328.0,1605.9,21478,4365,1213,2946,206,4,8,2800 Berlin Turnpike,Newington,CT,06131,(860) 594-2000,https://portal.ct.gov/dot
DE,Delaware,Dover,1.05,Delaware Department of Transportation,2025,1257,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),5,376,857,19,4.3,6.5,7.3,7.3,7.2,388.6,376.9,323.8,0.0,167.7,6666,872,353,508,11,3,3,800 Bay Road,Dover,DE,19901,(302) 760-2080,https://deldot.gov
FL,Florida,Tallahassee,23.37,Florida Department of Transportation,2025,15530,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),130,3369,10877,1154,62.8,-22.4,10.3,15.3,13.1,9631.9,2507.8,1174.6,567.7,1648.0,124310,13036,7763,4909,364,7,67,605 Suwannee Street,Tallahassee,FL,32399,(850) 414-4100,https://www.fdot.gov
GA,Georgia,Atlanta,11.18,Georgia Department of Transportation,2025,5456,NASBO 2025 State Expenditure Report (estimated FY2025),https://higherlogicdownload.s3.amazonaws.com/NASBO/9d2d2db1-c943-4f1b-b750-0fca152d64c2/UploadedImages/SER%20Archive/2025_SER/Transportation_Tables_2025_State_Expenditure_Report.pdf,Total transportation expenditures (capital inclusive),3668,1612,176,0,11.7,-4.0,6.8,7.4,7.3,2960.8,881.4,967.1,372.4,274.2,127279,15069,11278,3551,240,7,159,600 West Peachtree Street NW,Atlanta,GA,30308,(404) 631-1000,https://www.dot.ga.gov
